num_beds,equipment_hours,outdoor_temp,humidity,day_of_week,is_weekend,building_area,occupancy_rate,hvac_efficiency,daily_energy_kwh
122,9.028848790235969,11.460479533796153,79.31559815639578,3,1,46932,0.5834780111633319,0.745587355900746,60788.948871865876
455,9.494635940518176,15.334740122710853,78.55099026834186,4,0,38798,0.999155055070958,0.6617407220738677,60863.63200449969
368,8.14455298016113,32.769254035174306,83.06545653011862,1,1,36898,0.33847641478787543,0.5366632539708238,59880.468929641356
290,21.564413349583845,11.482995629159339,72.00205636632626,5,1,20881,0.704979272742472,0.5870026551254235,41343.801048807305
126,19.139982643444576,37.121337120998206,36.26424778488489,3,1,15785,0.357800510624694,0.9278351209457023,18163.306021878845
91,4.937929355824398,19.858459881872665,53.946011284423385,6,0,11691,0.4081645809933633,0.6839148030219202,11954.089260123848
208,9.373449640506147,8.046363690568052,73.38896918787776,1,1,22297,0.607694059241029,0.7100074201238888,33196.72590761853
40,4.443694840606033,33.55120252264983,46.82006764749126,5,0,11358,0.6573220919425089,0.5237194054340475,14902.246499748297
122,13.963303732917858,18.072838906343566,71.24438184817426,6,1,24581,0.48115468585516674,0.5169048032947913,26035.114120556333
141,13.524213935780283,23.427471795382335,31.46990689605914,6,1,6462,0.5215199916120913,0.822731651171041,8721.268439862535
486,20.627429801250024,8.93065205439267,48.368240452775595,6,0,20511,0.36087691417915313,0.7421425988545001,51852.86293088117
234,10.155544795420989,5.090440519574384,62.94782017663036,5,1,15570,0.5122538486909753,0.72891769289732,24749.922696085534
350,20.327714704261247,27.32948220276542,67.92538977037454,1,0,49414,0.9765909075663808,0.6094060386902009,90842.39178673361
478,23.359475308796462,23.031130961680606,64.62243986771465,6,0,20474,0.961295167170737,0.835137829233465,52202.236323383586
107,5.768164467312932,25.773849919310152,71.86537656440578,6,1,12037,0.5344148030958895,0.5757064605988214,17531.78940063885
392,19.83635678939266,32.781034763318075,30.365324894390344,2,1,33129,0.6995977553951331,0.585470634647459,49044.65982447208
119,15.799117942752721,27.631206969800104,36.05647199865129,3,1,47267,0.9367167737776609,0.707320477106724,46109.903008317684
379,13.600919340369503,11.117070498958201,82.1366551367487,5,1,18386,0.30432867584862766,0.6288259379503733,38223.650720969345
171,12.410715573301502,17.627038168870996,70.90491864540968,5,0,11221,0.8674784992363143,0.6113583415549159,19278.122407498828
150,19.69336527888619,36.70618866757161,36.77589856116068,4,0,28474,0.9638586869522432,0.7903569400489991,37301.78626715498
169,16.78722713948485,31.948064508808763,80.52446624391476,5,1,45537,0.36392801403348995,0.792937285348345,61947.94431788703
328,20.10089335038724,24.482297027785105,44.53387306947401,1,0,26045,0.4130133802230447,0.871032681409968,36815.179349938764
